Title,Author,ISBN,Average Rating,Publication Date,Rating
The Winning Hand,Nora Roberts,,4.19,,0
"Irish Trilogy Collection: Jewels of the Sun, Tears of the Moon, Heart of the Sea",Nora Roberts,,4.47,,0
Earth Girl,Janet Edwards,,3.83,,0
Because of Lila,Abbi Glines,,3.77,,0
Reaper,Janet Edwards,,4.07,,0
Telepath,Janet Edwards,,4.40,,0
Proving Paul's Promise,Tammy Falkner,,4.27,,0
It's a Bright World to Feel Lost In,Mawson Bear,,4.34,,0
The Perfect Hope,Nora Roberts,,4.18,,0
The Last Boyfriend,Nora Roberts,,4.09,,0
The Next Always,Nora Roberts,,4.12,,0
Face the Fire,Nora Roberts,,4.16,,0
Bittersweet Rain,Sandra Brown,,3.74,,0
Dirty Money,Jessica Clare,,3.62,,0
Billionaire on the Loose,Jessica Clare,,3.65,,0
The Billionaire’s Favorite Mistake,Jessica Clare,,3.60,,0
The Billionaire and the Virgin,Jessica Clare,,3.58,,0
One Night with a Billionaire,Jessica Clare,,3.97,,0
Romancing the Billionaire,Jessica Clare,,3.75,,0
Once Upon a Billionaire,Jessica Clare,,3.87,,0
The Wrong Billionaire's Bed,Jessica Clare,,4.00,,0
Beauty and the Billionaire,Jessica Clare,,4.02,,0
Stranded with a Billionaire,Jessica Clare,,3.82,,0
His Challenging Lover,Elizabeth Lennox,,4.10,,0
Fifty Shades Freed,E.L. James,,3.84,,0
Fifty Shades Darker,E.L. James,,3.83,,0
The Rocker That Savors Me,Terri Anne Browning,,4.24,,0
High Noon,Nora Roberts,,4.03,,0
After the Game,Abbi Glines,,3.91,,0
Like A Memory,Abbi Glines,,3.79,,0
The Best Goodbye,Abbi Glines,,4.09,,0
When You're Back,Abbi Glines,,4.11,,0
Until the End,Abbi Glines,,4.40,,0
When I'm Gone,Abbi Glines,,4.24,,0
Bad for You,Abbi Glines,,4.27,,0
Until Friday Night,Abbi Glines,,3.89,,0
Rush Too Far,Abbi Glines,,4.19,,0
Take a Chance,Abbi Glines,,4.13,,0
Just for Now,Abbi Glines,,4.23,,0
Because of Low,Abbi Glines,,4.12,,0
Breathe,Abbi Glines,,3.85,,0
Forever Too Far,Abbi Glines,,4.20,,0
Never Too Far,Abbi Glines,,4.17,,0
Fallen Too Far,Abbi Glines,,4.16,,0
Up in Flames,Abbi Glines,,3.87,,0
Earth and Fire,Janet Edwards,,4.33,,0
Supervillains Anonymous,Lexie Dunne,,3.95,,0
Superheroes Anonymous,Lexie Dunne,,3.78,,0
Chaser,Kylie Scott,,3.92,,0
Twist,Kylie Scott,,3.91,,0
Dirty,Kylie Scott,,3.88,,0
Play,Kylie Scott,,4.25,,0
Deep,Kylie Scott,,4.02,,0
Lead,Kylie Scott,,4.26,,0
Lick,Kylie Scott,,4.07,,0
Under a Vampire Moon,Lynsay Sands,,4.25,,0
Devil of the Highlands,Lynsay Sands,,4.04,,0
The Lady is a Vamp,Lynsay Sands,,4.24,,0
Born to Bite,Lynsay Sands,,4.22,,0
The Bite Before Christmas,Lynsay Sands,,4.16,,0
"Vampire, Interrupted",Lynsay Sands,,4.34,,0
Vampires are Forever,Lynsay Sands,,4.26,,0
How to Marry a Millionaire Vampire,Kerrelyn Sparks,,3.85,,0
The Future of Us,Jay Asher,,3.57,,0
The Iron Queen,Julie Kagawa,,4.20,,0
Inheritance,Christopher Paolini,,4.13,,0
The Voyage of the Dawn Treader,C.S. Lewis,,4.09,,0
Paranormalcy,Kiersten White,,3.88,,0
Blue Bloods,Melissa de la Cruz,,3.70,,0
Me and Earl and the Dying Girl,Jesse Andrews,,3.52,,0
Untamed,P.C. Cast,,3.94,,0
Brisingr,Christopher Paolini,,4.08,,0
Beastly,Alex Flinn,,3.82,,0
Evermore,Alyson Noel,,3.59,,0
The One,Kiera Cass,,4.16,,0
The Death Cure,James Dashner,,3.78,,0
Crossed,Ally Condie,,3.52,,0
Marked,P.C. Cast,,3.81,,0
Harry Potter and the Chamber of Secrets,J.K. Rowling,,4.43,,0
The Scorch Trials,James Dashner,,3.90,,0
Matched,Ally Condie,,3.63,,0
The Maze Runner,James Dashner,,4.05,,0
Insurgent,Veronica Roth,,3.98,,0
Harry Potter and the Half-Blood Prince,J.K. Rowling,,4.58,,0
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,,4.58,,0
Harry Potter and the Deathly Hallows,J.K. Rowling,,4.62,,0
Harry Potter and the Goblet of Fire,J.K. Rowling,,4.56,,0
Mockingjay,Suzanne Collins,,4.08,,0
Catching Fire,Suzanne Collins,,4.31,,0
Double Down,Jeff Kinney,,4.25,,0
Old School,Jeff Kinney,,4.31,,0
The Long Haul,Jeff Kinney,,4.33,,0
Hard Luck,Jeff Kinney,,4.28,,0
The Third Wheel,Jeff Kinney,,4.21,,0
Cabin Fever,Jeff Kinney,,4.24,,0
The Ugly Truth,Jeff Kinney,,4.19,,0
Dog Days,Jeff Kinney,,4.17,,0
The Last Straw,Jeff Kinney,,4.15,,0
Rodrick Rules,Jeff Kinney,,4.15,,0
Diary of a Wimpy Kid,Jeff Kinney,,3.98,,0
The Martian,Andy Weir,,4.41,,0
The Iron Trial,Holly Black,,3.96,,0
Starflight,Melissa Landers,,3.85,,0
172 Hours on the Moon,Johan Harstad,,3.54,,0
Salvage,Alexandra Duncan,,3.68,,0
The 100,Kass Morgan,,3.57,,0
Alienated,Melissa Landers,,3.89,,0
The Bro Code,Matt Kuhn,,3.70,,0
A Touch of Minx,Suzanne Enoch,,4.12,,0
Billionaires Prefer Blondes,Suzanne Enoch,,4.09,,0
Don't Look Down,Suzanne Enoch,,4.03,,0
Flirting With Danger,Suzanne Enoch,,3.93,,0
Angel Eyes,Nicole Luiken,,4.05,,0
Silver Eyes,Nicole Luiken,,3.94,,0
Violet Eyes,Nicole Luiken,,3.90,,0
And All the Stars,Andrea K. Höst,,3.89,,0
Infinity,Sherrilyn Kenyon,,4.03,,0
Dance with the Devil,Sherrilyn Kenyon,,4.37,,0
Fantasy Lover,Sherrilyn Kenyon,,4.15,,0
Harry Potter and the Cursed Child: Parts One and Two,J.K. Rowling,,3.50,,0
Allegiant,Veronica Roth,,3.60,,0
Tales from the Shadowhunter Academy,Cassandra Clare,,4.32,,0
Clockwork Princess,Cassandra Clare,,4.56,,0
City of Heavenly Fire,Cassandra Clare,,4.39,,0
City of Lost Souls,Cassandra Clare,,4.22,,0
City of Fallen Angels,Cassandra Clare,,4.08,,0
City of Ashes,Cassandra Clare,,4.12,,0
Fifty Shades of Grey,E.L. James,,3.66,,0
Arclight,Josin L. McQuein,,3.60,,0
Reboot,Amy Tintera,,3.89,,0
The 5th Wave,Rick Yancey,,4.01,,0
Prison Planet Barbarian,Ruby Dixon,,3.94,,0
Infinite,Jodi Meadows,,4.03,,0
Asunder,Jodi Meadows,,3.96,,0
The Elite,Kiera Cass,,3.95,,0
Origin,Jessica Khoury,,3.89,,0
Year One,Nora Roberts,,4.05,,0
Come Sundown,Nora Roberts,,4.14,,0
Behind the Lens,Cassandra Giovanni,,4.19,,0
Hera 2781,Janet Edwards,,4.15,,0
Scavenger Alliance,Janet Edwards,,4.28,,0
Fangirl,Rainbow Rowell,,3.96,,0
Outside In,Maria V. Snyder,,3.83,,0
The Rocker That Holds Me,Terri Anne Browning,,3.90,,0
Across the Universe,Beth Revis,,3.77,,0
In Arcadia,Andrea K. Höst,,4.21,,0
Gratuitous Epilogue,Andrea K. Höst,,4.16,,0
Caszandra,Andrea K. Höst,,4.18,,0
Lab Rat One,Andrea K. Höst,,4.30,,0
Beta,Rachel Cohn,,3.53,,0
Stray,Andrea K. Höst,,3.99,,0
Twilight / Life and Death,Stephenie Meyer,,3.45,,0
The Short Second Life of Bree Tanner,Stephenie Meyer,,3.51,,0
Midnight Sun [2008 Draft],Stephenie Meyer,,4.01,,0
The Host,Stephenie Meyer,,3.86,,0
Breaking Dawn,Stephenie Meyer,,3.73,,0
Eclipse,Stephenie Meyer,,3.72,,0
New Moon,Stephenie Meyer,,3.59,,0
Notorious Nineteen,Janet Evanovich,,3.97,,0
Visions of Sugar Plums,Janet Evanovich,,3.72,,0
Explosive Eighteen,Janet Evanovich,,3.97,,0
Sizzling Sixteen,Janet Evanovich,,3.97,,0
Smokin' Seventeen,Janet Evanovich,,3.98,,0
Finger Lickin' Fifteen,Janet Evanovich,,4.02,,0
Fearless Fourteen,Janet Evanovich,,4.05,,0
Lean Mean Thirteen,Janet Evanovich,,4.10,,0
Ten Big Ones,Janet Evanovich,,4.15,,0
Hard Eight,Janet Evanovich,,4.17,,0
Seven Up,Janet Evanovich,,4.15,,0
High Five,Janet Evanovich,,4.18,,0
Hot Six,Janet Evanovich,,4.19,,0
Four to Score,Janet Evanovich,,4.17,,0
Three to Get Deadly,Janet Evanovich,,4.15,,0
Two for the Dough,Janet Evanovich,,4.11,,0
One for the Money,Janet Evanovich,,4.04,,0
The Villa,Nora Roberts,,4.00,,0
Tribute,Nora Roberts,,4.01,,0
Birthright,Nora Roberts,,4.06,,0
Heaven and Earth,Nora Roberts,,4.14,,0
The Liar,Nora Roberts,,4.04,,0
Northern Lights,Nora Roberts,,4.03,,0
Jewels of the Sun,Nora Roberts,,4.22,,0
Vision in White,Nora Roberts,,4.12,,0
Immortal Ever After,Lynsay Sands,,4.26,,0
The Reluctant Vampire,Lynsay Sands,,4.27,,0
Hungry for You,Lynsay Sands,,4.26,,0
The Immortal Hunter,Lynsay Sands,,4.22,,0
The Renegade Hunter,Lynsay Sands,,4.33,,0
The Rogue Hunter,Lynsay Sands,,4.17,,0
The Accidental Vampire,Lynsay Sands,,4.23,,0
A Bite to Remember,Lynsay Sands,,4.24,,0
Bite Me If You Can,Lynsay Sands,,4.28,,0
Love Bites,Lynsay Sands,,4.10,,0
A Quick Bite,Lynsay Sands,,3.91,,0
The Hidden Oracle,Rick Riordan,,4.17,,0
The Sword of Summer,Rick Riordan,,4.24,,0
The Blood of Olympus,Rick Riordan,,4.43,,0
The House of Hades,Rick Riordan,,4.56,,0
The Son of Neptune,Rick Riordan,,4.42,,0
The Last Olympian,Rick Riordan,,4.54,,0
The Lost Hero,Rick Riordan,,4.31,,0
The Battle of the Labyrinth,Rick Riordan,,4.42,,0
The Sea of Monsters,Rick Riordan,,4.24,,0
The Dangerous Protector,Janet Chapman,,4.23,,0
The Seductive Impostor,Janet Chapman,,4.29,,0
Tempt Me If You Can,Janet Chapman,,4.11,,0
For the Love of Magic,Janet Chapman,,4.14,,0
The Man Must Marry,Janet Chapman,,4.08,,0
The Highlander Next Door,Janet Chapman,,4.17,,0
The Stranger in Her Bed,Janet Chapman,,4.12,,0
Courting Carolina,Janet Chapman,,4.16,,0
Mystical Warrior,Janet Chapman,,4.24,,0
The Heart of a Hero,Janet Chapman,,4.30,,0
Dragon Warrior,Janet Chapman,,4.28,,0
Charmed by His Love,Janet Chapman,,4.26,,0
Highlander for the Holidays,Janet Chapman,,4.30,,0
The Seduction of His Wife,Janet Chapman,,4.03,,0
Spellbound Falls,Janet Chapman,,4.15,,0
Secrets of the Highlander,Janet Chapman,,4.25,,0
Only With a Highlander,Janet Chapman,,4.31,,0
A Highlander Christmas,Janet Chapman,,4.12,,0
Moonlight Warrior,Janet Chapman,,4.24,,0
Tempting the Highlander,Janet Chapman,,4.33,,0
Loving the Highlander,Janet Chapman,,4.21,,0
Wedding the Highlander,Janet Chapman,,4.31,,0
Charming the Highlander,Janet Chapman,,4.09,,0
More of Me,Kathryn Evans,,3.63,,0
Earth Flight,Janet Edwards,,4.29,,0
Earth Star,Janet Edwards,,4.12,,0
Silent Night,J.D. Robb,,4.20,,0
Bump in the Night,J.D. Robb,,4.15,,0
Missing in Death,J.D. Robb,,4.24,,0
Possession in Death,J.D. Robb,,4.30,,0
Chaos in Death,J.D. Robb,,4.17,,0
Out of this World,J.D. Robb,,4.08,,0
Suite 606,J.D. Robb,,4.10,,0
Big Jack,J.D. Robb,,4.21,,0
Apprentice in Death,J.D. Robb,,4.44,,0
Eternity in Death,J.D. Robb,,4.23,,0
Haunted in Death,J.D. Robb,,4.18,,0
Devoted in Death,J.D. Robb,,4.40,,0
Echoes in Death,J.D. Robb,,4.43,,0
Concealed in Death,J.D. Robb,,4.31,,0
Midnight in Death,J.D. Robb,,4.22,,0
Thankless in Death,J.D. Robb,,4.35,,0
Festive in Death,J.D. Robb,,4.32,,0
Salvation in Death,J.D. Robb,,4.29,,0
Kindred in Death,J.D. Robb,,4.36,,0
Fantasy in Death,J.D. Robb,,4.28,,0
Delusion in Death,J.D. Robb,,4.35,,0
Remember When,Nora Roberts,,4.25,,0
Seduction in Death,J.D. Robb,,4.34,,0
Strangers in Death,J.D. Robb,,4.32,,0
Calculated in Death,J.D. Robb,,4.29,,0
Indulgence in Death,J.D. Robb,,4.35,,0
Memory in Death,J.D. Robb,,4.34,,0
Divided in Death,J.D. Robb,,4.35,,0
Celebrity in Death,J.D. Robb,,4.31,,0
Origin in Death,J.D. Robb,,4.37,,0
Creation in Death,J.D. Robb,,4.39,,0
Visions in Death,J.D. Robb,,4.38,,0
Imitation in Death,J.D. Robb,,4.38,,0
Obsession in Death,J.D. Robb,,4.36,,0
Brotherhood in Death,J.D. Robb,,4.40,,0
Reunion in Death,J.D. Robb,,4.37,,0
Treachery in Death,J.D. Robb,,4.46,,0
Purity in Death,J.D. Robb,,4.37,,0
New York to Dallas,J.D. Robb,,4.44,,0
Betrayal in Death,J.D. Robb,,4.34,,0
Survivor In Death,J.D. Robb,,4.41,,0
Loyalty in Death,J.D. Robb,,4.33,,0
Witness in Death,J.D. Robb,,4.32,,0
Judgment in Death,J.D. Robb,,4.36,,0
Portrait in Death,J.D. Robb,,4.38,,0
Promises in Death,J.D. Robb,,4.41,,0
Conspiracy in Death,J.D. Robb,,4.37,,0
Holiday in Death,J.D. Robb,,4.33,,0
Ceremony in Death,J.D. Robb,,4.27,,0
Vengeance in Death,J.D. Robb,,4.35,,0
Rapture in Death,J.D. Robb,,4.28,,0
Immortal in Death,J.D. Robb,,4.28,,0
Glory in Death,J.D. Robb,,4.27,,0
Naked in Death,J.D. Robb,,4.13,,0
Eve,Anna Carey,,3.68,,0
Wings,Aprilynne Pike,,3.76,,0
Jessica's Guide to Dating on the Dark Side,Beth Fantaskey,,3.84,,0
Forgive My Fins,Tera Lynn Childs,,3.84,,0
If I Die,Rachel Vincent,,4.30,,0
The Iron King,Julie Kagawa,,3.88,,0
Clockwork Angel,Cassandra Clare,,4.31,,0
The Titan's Curse,Rick Riordan,,4.36,,0
City of Glass,Cassandra Clare,,4.28,,0
My Soul to Keep,Rachel Vincent,,4.08,,0
Awake at Dawn,C.C. Hunter,,4.25,,0
City of Bones,Cassandra Clare,,4.08,,0
Divergent,Veronica Roth,,4.15,,0
Captivate,Carrie Jones,,3.94,,0
The Iron Daughter,Julie Kagawa,,4.08,,0
Clockwork Prince,Cassandra Clare,,4.43,,0
The Hunger Games,Suzanne Collins,,4.33,,0
School's Out—Forever,James Patterson,,4.14,,0
Vampire Academy - The Ultimate Guide,Richelle Mead,,4.44,,0
Chosen,P.C. Cast,,3.91,,0
The Iron Knight,Julie Kagawa,,4.18,,0
The Selection,Kiera Cass,,4.09,,0
Twilight,Stephenie Meyer,,3.64,,0
The Lightning Thief,Rick Riordan,,4.30,,0
"The Lion, the Witch and the Wardrobe",C.S. Lewis,,4.23,,0
Eragon,Christopher Paolini,,3.94,,0
Nevermore,James Patterson,,3.88,,0
The Rise of Nine,Pittacus Lore,,4.17,,0
The Mark of Athena,Rick Riordan,,4.47,,0
House Of Secrets,Chris Columbus,,3.82,,0
Smitten,Janet Evanovich,,3.71,,0
Plum Spooky,Janet Evanovich,,3.82,,0
Plum Lucky,Janet Evanovich,,3.76,,0
Eleven on Top,Janet Evanovich,,4.16,,0
Plum Lovin',Janet Evanovich,,3.75,,0
Metro Girl,Janet Evanovich,,3.68,,0
Motor Mouth,Janet Evanovich,,3.71,,0
Wicked Business,Janet Evanovich,,3.82,,0
To the Nines,Janet Evanovich,,4.16,,0
Twelve Sharp,Evanovich Janet,,4.16,,0
True North,Beverly Brandt,,3.64,,0
Crescent Moon,Lori Handeland,,3.97,,0
Dark Moon,Lori Handeland,,3.97,,0
Blue Moon,Lori Handeland,,3.78,,0
Hunter's Moon,Lori Handeland,,3.95,,0
Into the Shadow,Christina Dodd,,4.20,,0
Into the Flame,Christina Dodd,,4.17,,0
Touch of Darkness,Christina Dodd,,4.10,,0
Scent of Darkness,Christina Dodd,,3.96,,0
"Tall, Dark and Hungry",Lynsay Sands,,4.20,,0
Single White Vampire,Lynsay Sands,,4.17,,0
After the Kiss,Suzanne Enoch,,3.82,,0
A Regency Lords and Ladies Christmas,NICOLA CORNICK ET AL,,3.62,,0
Too Dangerous to Desire,Alexandra Benedict,,3.35,,0
Whose Baby?,Caroline Anderson,,3.33,,0
In the Mood,Suzanne Macpherson,,3.63,,0
For Their Child's Sake,Suzanne Brockmann,,4.11,,0
"Happy Mother's Day: Love Mills & Boon. Miranda Lee, Melanie Milburne & Catherine George",Miranda Lee,,4.00,,0
The Chocolate Run: AND The Cupid Effect,Dorothy Koomson,,4.01,,0
A Million Suns,Beth Revis,,4.01,,0
Shades of Earth,Beth Revis,,4.07,,0
Cordina's Royal Family: Bennett & Camilla,Nora Roberts,,4.02,,0
Born in Death,J.D. Robb,,4.37,,0
Innocent in Death,J.D. Robb,,4.39,,0
Summer Pleasures,Nora Roberts,,3.78,,0
Raised by Wolves,Jennifer Lynn Barnes,,3.92,,0
The Girl at Midnight,Melissa Grey,,3.73,,0
Shadowland,Meg Cabot,,4.04,,0
MILA 2.0,Debra Driza,,3.69,,0
Altered,Jennifer Rush,,4.01,,0
Stormbreaker,Anthony Horowitz,,3.98,,0
Abducting Abby,S.E. Smith,,3.83,,0
Mated,Laurie Roma,,3.72,,0
Claimed,Evangeline Anderson,,3.77,,0
Ral's Woman,Laurann Dohner,,3.80,,0
Fury,Laurann Dohner,,4.11,,0
Shutdown,Heather Anastasiu,,4.09,,0
Override,Heather Anastasiu,,4.02,,0
Grey,E.L. James,,3.82,,0
Until Nico,Aurora Rose Reynolds,,4.29,,0
Maybe Matt's Miracle,Tammy Falkner,,4.35,,0
Earth 2788,Janet Edwards,,4.22,,0
Dark Witch,Nora Roberts,,3.96,,0
Give Up the Ghost,Megan Crewe,,3.52,,0
Glitch,Heather Anastasiu,,3.72,,0
The Angel Experiment,James Patterson,,4.07,,0
The Iron Witch,Karen Mahoney,,3.45,,0
Once a Witch,Carolyn MacCullough,,3.75,,0
Born at Midnight,C.C. Hunter,,4.11,,0
Inside Out,Maria V. Snyder,,3.82,,0
Animal Farm,George Orwell,,3.98,,0
The Great Gatsby,F. Scott Fitzgerald,,3.93,,0
Hex Hall,Rachel Hawkins,,3.92,,0
Bared to You,Sylvia Day,,4.15,,0
Gabriel's Rapture,Sylvain Reynard,,4.21,,0
Reflected in You,Sylvia Day,,4.30,,0
The Power of Six,Pittacus Lore,,4.15,,0
Obsidian,Jennifer L. Armentrout,,4.14,,0
Fire,Kristin Cashore,,4.10,,0
Twilight,Meg Cabot,,4.24,,0
Illusions,Aprilynne Pike,,4.10,,0
My Soul to Take,Rachel Vincent,,3.87,,0
The Goddess Test,Aimee Carter,,3.79,,0
Marked / Betrayed / Chosen / Untamed,P.C. Cast,,4.39,,0
Percy Jackson and the Olympians,Rick Riordan,,4.54,,0
The Twilight Collection,Stephenie Meyer,,3.81,,0
